,ID,distB,distC,distG,distH,distO,distS,ddistB,ddistC,dddistG,ddistH,ddistO,ddistS,groupIC,GridX,GridY,viewIC,scalefactor,sdB,sdC,sdG,sdH,sdO,sdS,TotDist
STATE_30000,STATE_30000,0.07366289748145856,0.07366289748145856,0.08482226091377217,0.08054138287713478,0.11972512578884369,0.11741021197213249,0,0,0,0,0,0,II,9,1,3,1,0,0,0,0,0,0,0.5498247765148002
STATE_61000,STATE_61000,0.07256658340214116,0.07256658340214116,0.09178120767417745,0.07573734046549505,0.12184901977497901,0.11546064091480575,0,0,0,0,0,0,II,10,1,3,1,0,0,0,0,0,0,0.5499613756337396
STATE_43000,STATE_43000,0.07195362691943752,0.07195362691943752,0.08569143868533849,0.07521354489769998,0.12833284370413334,0.1230474041095927,0,0,0,0,0,0,II,1,2,3,1,0,0,0,0,0,0,0.5561924852356395
STATE_84000,STATE_84000,0.07424002714585445,0.07424002714585445,0.08785051288635194,0.07893758155182554,0.13164607603480244,0.11075838731256585,0,0,0,0,0,0,II,2,2,3,1,0,0,0,0,0,0,0.5576726120772547
STATE_35000,STATE_35000,0.07394028358766176,0.07394028358766176,0.08978141806295843,0.07971821849477079,0.1318824450371587,0.11409013792584763,0,0,0,0,0,0,II,3,2,3,1,0,0,0,0,0,0,0.5633527866960591
STATE_37000,STATE_37000,0.07439731076653766,0.07439731076653766,0.09500763130287504,0.07973507581338654,0.1248104960685474,0.11873021957344472,0,0,0,0,0,0,II,4,2,3,1,0,0,0,0,0,0,0.567078044291329
STATE_70000,STATE_70000,0.0781059677999821,0.0781059677999821,0.09040542740318509,0.0840693801504486,0.13169438974867043,0.12655875372906458,0,0,0,0,0,0,II,5,2,3,1,0,0,0,0,0,0,0.5889398866313329
STATE_53000,STATE_53000,0.08398291514762132,0.08398291514762132,0.09236391525523666,0.0884033611541846,0.14440162293655218,0.13042417385861152,0,0,0,0,0,0,II,6,2,3,1,0,0,0,0,0,0,0.6235589034998276
STATE_48000,STATE_48000,0.0846034809641355,0.0846034809641355,0.10094123238913418,0.08852724333474006,0.16124513709012603,0.13991800925410738,0,0,0,0,0,0,II,7,2,3,1,0,0,0,0,0,0,0.6598385839963786
STATE_18000,STATE_18000,0.06366171618874181,0.06366171618874181,0.07940443328442207,0.06937681234083161,0.09891596486807533,0.09891596486807533,0,0,0,0,0,0,III,8,2,3,1,0,0,0,0,0,0,0.4739366077388879
STATE_54000,STATE_54000,0.07142319010133244,0.07142319010133244,0.08106781112707752,0.0758237702243881,0.10365390030409509,0.10365390030409509,0,0,0,0,0,0,III,9,2,3,1,0,0,0,0,0,0,0.5070457621623207
STATE_23000,STATE_23000,0.07210272025328623,0.07210272025328623,0.08430529525250878,0.07646068766901985,0.10778790379234826,0.10778790379234826,0,0,0,0,0,0,III,10,2,3,1,0,0,0,0,0,0,0.5205472310127977
STATE_96000,STATE_96000,0.07454778851239863,0.07454778851239863,0.09919198736767561,0.07981051805625204,0.11236317345360898,0.11236317345360898,0,0,0,0,0,0,III,9,3,3,1,0,0,0,0,0,0,0.5528244293559429
STATE_32000,STATE_32000,0.07657048960671027,0.07657048960671027,0.0914938337574763,0.07895501017875879,0.12204593624530272,0.12204593624530272,0,0,0,0,0,0,III,10,3,3,1,0,0,0,0,0,0,0.567681695640261
GroupI,GroupI,0.07268086460100488,0.07268086460100488,0.08626263977903707,0.07675923560944423,0.11101514138091827,0.12941433731683155,-3.0307379875624263e-05,-3.0307379875624263e-05,-0.00011241352186443232,-7.471896975561054e-05,-0.002089223705610571,0.0035914878333613842,TOT,5.5,6.5,2,6,0.00536982026804424,0.00536982026804424,0.007270870511707133,0.005892879645575321,0.009430567919258927,0.010795364530020269,0.548813083288241
GroupII,GroupII,0.07316083305453387,0.07316083305453387,0.0866863811798802,0.07740135299316707,0.1240339897637317,0.11409460418455081,0.00044966107365336516,0.00044966107365336516,0.0003113278789786955,0.0005673984139672322,0.010929624677202862,-0.01172824529891936,TOT,4.5,1.5,2,2,0.005287286701198578,0.005287286701198578,0.006262282113634056,0.00594540718847119,0.01447663335838701,0.011689604993171945,0.5485379942303975
GroupIII,GroupIII,0.07166118093249388,0.07166118093249388,0.08709267215783205,0.07608535969385008,0.10895337573268607,0.10895337573268607,-0.0010499910483866282,-0.0010499910483866282,0.0007176188569305436,-0.000748594885349757,-0.004150989353842768,-0.016869473750784097,TOT,9.5,2.5,2,2,0.004916219273312444,0.004916219273312444,0.008199711723594027,0.0041026091227924595,0.008849212433899129,0.008849212433899129,0.524407145182042
GroupTOTAL,GroupTOTAL,0.0727111719808805,0.0727111719808805,0.0863750533009015,0.07683395457919984,0.11310436508652884,0.12582284948347017,0.0,0.0,0.0,0.0,0.0,0.0,-,5.5,5.5,1,10,0.005293499015436274,0.005293499015436274,0.007088818213713729,0.00578812393773262,0.011430275379273604,0.012794520384394999,0.5475585664118614
